,1400,1401,1402,1403,1404,1405,1406,1407,1408,1409,1410,1411,1412,1413,1414,1415,1416,1417,1418,1419,1420,1421,1422,1423,1424,1425,1426,1427,1428,1429,1430,1431,1432,1433,1434,1435,1436,1437,1438,1439,1440,1441,1442,1443,1444,1445,1446,1447,1448,1449,Average
Haze,9.876658,10.192845,9.787164,9.875843,9.307388,9.769544,9.705544,10.394181,10.530502,10.411894,10.223148,8.807918,10.065986,9.789609,9.757231,10.669997,9.978227,10.344103,10.210548,10.349992,10.140696,10.498407,10.495808,10.511113,10.62273,10.193189,10.47807,10.604089,10.369055,10.403061,10.13055,9.488445,10.69963,10.546864,10.594463,9.299555,10.043403,9.917321,9.317894,10.33815,9.335126,9.672493,10.304435,10.185982,9.914245,10.280596,10.034676,10.364343,10.332384,10.135129,10.106004
Neighborhood,9.783779,9.824303,9.641188,10.689317,9.09528,9.368282,8.651623,9.564515,8.936087,9.063403,9.497054,8.902086,9.247982,10.077693,9.751325,10.129432,10.347184,10.331142,9.079256,9.456034,10.412302,9.808398,10.676893,10.48009,10.48946,9.882636,10.142202,10.318076,9.931037,9.557471,10.743502,10.023668,10.077562,10.290196,9.539522,8.454119,8.081914,10.159794,9.10523,8.15811,9.603683,9.454293,10.054055,9.875433,10.350165,9.653268,9.807208,10.278146,9.910557,9.781765,9.730754
Segmentation,9.154826,8.949471,9.888519,10.733396,9.275345,9.617873,9.263786,9.343541,9.234923,9.65767,9.473435,9.058875,9.037058,10.112626,9.617046,10.380006,8.597483,10.328913,9.615752,9.518867,10.440377,9.285993,10.576818,10.368558,10.722553,9.95153,10.401806,10.225193,10.361554,9.853598,10.707942,9.858923,10.724537,10.545867,10.444143,8.773499,8.290453,10.335539,8.729735,9.331134,9.809832,9.83185,9.683033,9.821816,10.365504,10.239576,10.157146,10.527683,10.431036,10.265673,9.838446
