,1,2,3,4,6,7,9,10,11,14,16,17,18,19,21,22,23,24,25,26,29,30,33,34,36,39,40,42,45,46,47,48,49,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,68,Average
Haze,10.068917,9.593002,10.170362,8.848672,8.99784,10.453048,10.332433,10.321892,10.300922,10.675835,9.144179,9.187411,9.966833,10.358754,8.156236,8.856165,10.133138,10.344367,10.400203,10.170805,9.408488,10.478268,9.768778,9.906533,9.397128,9.764457,10.027032,9.84284,7.830812,10.530174,9.401187,10.712922,9.897077,10.869597,10.210764,10.253511,10.004395,10.552093,10.245646,9.600885,10.300376,9.75778,9.861253,9.573175,9.390905,10.530398,10.739528,10.687623,10.076223,10.227163,9.926561
Neighborhood,9.750397,10.230208,7.704866,10.224071,9.166546,9.810291,9.584832,9.875521,9.158977,9.956455,10.204826,9.765869,8.900214,9.341317,9.508316,10.796136,9.713205,8.236822,9.208146,8.198905,10.478804,9.098712,10.381137,8.238589,10.617756,10.282103,8.673894,10.05037,10.574372,8.769143,7.99269,9.503169,10.314911,9.911854,10.015493,9.130772,9.920105,8.394712,9.656241,10.191623,9.403738,7.896422,9.370532,10.711305,10.369295,9.983022,9.55734,9.907815,10.616089,8.04336,9.547826
Segmentation,8.843879,8.137995,6.531029,9.359223,9.748689,8.883993,9.490616,9.580279,10.306107,8.433302,9.94044,8.342276,8.801414,9.873663,9.814091,9.012958,10.752351,9.611554,10.199885,9.10866,8.880681,9.533996,9.259712,9.547768,8.934493,9.663097,8.284528,10.163389,10.913408,10.152556,8.509855,9.330257,9.547131,10.20391,7.988722,9.982878,10.501085,8.253045,9.652356,9.720614,10.203367,8.456763,8.290617,9.926023,10.778672,10.441867,9.711413,9.072822,10.225861,8.90125,9.396091
