"dates","times","X","Subject","eprocs","Task_type","Procedure","Sample","objlist","PairList","ITIDur","ObjDur","startPosition","startFacing","paths","e_paths","Vid_paths","select_made","StartAt","EndAt","end_location","end_rotation","accuracy","nodesturns_count","nodes_count","turns_count","average_RT","final_movevid_OT","trial_starttime","trial_endtime","trial_duration","getready_rttime","iti_onset","startat_onset","goal_onset","session_time","Position1..Num.","Position2..Num.","Euc.Distance","Euclid.S.L","Euclid.S.M.L","Path.Distance","Path.S.L","Path.S.M.L","Num.Nodes","Nodes.S.L","Nodes.S.M.L","Num.Nodes...Turns..button.presses.","Press.S.L","Press.S.M.L","fmv_duration","path_dist_trav","euc_dist_trav","path_efficiencies","path_efficiencies_acc_only"
2019-04-25,"11:39:19",3655,83,"Test_Trials_B_1-083-1","B1","TrialRevProc",7,70,1,5069.7056,2287.569423,16,2,"P P Z T T Q H B B B H H G G L L","P3 Z2 T2 T1 Q1 H1 B1 B2 B3 H3 H4 G4 G3 L3 L3","P2_P3 P3_Z2 Z2_T2 T2_T1 T1_Q1 Q1_H1 H1_B1 B1_B2 B2_B3 B3_H3 H3_H4 H4_G4 G4_G3 G3_L3 Selec",TRUE,"P","L","L",3,TRUE,16,9,7,221,297664,261574,298717,36143,36936,298717,259281,256975,"11:39:19",16,12,2.263846285,"S","S",22.5,"L","M",6,"S","M",10,"L","M",1053,27,2.26384628453435,1.2,1.2
2019-04-25,"11:39:19",3656,83,"Test_Trials_B_1-083-1","B1","TrialRevProc",8,18,7,2432.670237,2432.670237,11,2,"K J J R U U W W","J4 J3 R3 U3 U2 W4 W4","K2_J4 J4_J3 J3_R3 R3_U3 U3_U2 U2_W4 Selec",TRUE,"K","W","W",4,TRUE,8,5,3,189,331220,308676,332273,22597,36936,332273,306237,303797,"11:39:19",11,23,12.26019984,"L","L",15.75,"S","S",4,"S","S",6,"S","S",1053,15.75,12.2601998352392,1,1
2019-04-25,"11:20:17",3657,83,"Test_Trials_B_2-083-1","B2","TrialProc",1,76,5,2432.670237,2429.900691,9,3,"I C C C C B B H H G G L L","C1 C2 C3 C4 B4 B3 H3 H4 G4 G3 L3 L3","I2_C1 C1_C2 C2_C3 C3_C4 C4_B4 B4_B3 B3_H3 H3_H4 H4_G4 G4_G3 G3_L3 Selec",TRUE,"I","L","L",3,TRUE,13,6,7,269.333333333333,47997,20919,49050,27131,15659,49050,15680,18120,"11:20:17",9,12,5.408326913,"S","S",13.5,"S","S",5,"S","S",9,"S","M",1053,13.5,5.40832691319598,1,1
2019-04-25,"11:20:17",3658,83,"Test_Trials_B_2-083-1","B2","TrialRevProc",2,24,2,2361.13514,2342.706841,9,3,"I C C D E F F N N","C1 C2 D2 E2 F2 F3 N3 N3","I2_C1 C1_C2 C2_D2 D2_E2 E2_F2 F2_F3 F3_N3 Selec",TRUE,"I","N","N",3,TRUE,9,6,3,206.125,73794,56222,74847,17625,15659,74847,53863,51503,"11:20:17",9,14,9.124143795,"L","M",17,"S","S",5,"S","S",8,"S","S",1053,17,9.61769203083567,1,1
2019-04-25,"11:20:17",3659,83,"Test_Trials_B_2-083-1","B2","TrialRevProc",3,6,6,2433.827314,2676.939823,15,4,"O M M S S R R U U W W","M2 M3 S3 S4 R4 R3 U3 U2 W4 W4","O2_M2 M2_M3 M3_S3 S3_S4 S4_R4 R4_R3 R3_U3 U3_U2 U2_W4 Selec",TRUE,"O","P","W",4,FALSE,11,6,5,582.9,114629,82606,115682,32076,15659,115682,79913,77220,"11:20:17",15,23,7.25,"S","S",17.75,"S","S",5,"S","S",9,"S","M",1053,17.75,7.25,1,NA
2019-04-25,"11:20:17",3660,83,"Test_Trials_B_2-083-1","B2","TrialRevProc",4,64,4,4354.997762,2294.566965,22,3,"Y Y V X X X X Z Z T T Q H H G G L","Y4 V1 X1 X2 X3 X4 Z1 Z2 T2 T1 Q1 H1 H4 G4 G3 L3","Y2_Y4 Y4_V1 V1_X1 X1_X2 X2_X3 X3_X4 X4_Z1 Z1_Z2 Z2_T2 T2_T1 T1_Q1 Q1_H1 H1_H4 H4_G4 G4_G3 G3_L3",FALSE,"Y","L","L",3,TRUE,17,8,9,447.75,163637,122748,167797,45049,15659,167797,120442,118136,"11:20:17",22,12,8.961724164,"S","M",22.75,"L","M",7,"L","M",13,"L","L",4160,25.75,9.22293337284836,1.13186813186813,1.13186813186813
2019-04-25,"11:20:17",3661,83,"Test_Trials_B_2-083-1","B2","TrialRevProc",5,67,7,5577.330739,2141.597832,1,1,"A A G G H H B B C C I I","A3 G3 G2 H2 H1 B1 B2 C2 C3 I2 I2","A4_A3 A3_G3 G3_G2 G2_H2 H2_H1 H1_B1 B1_B2 B2_C2 C2_C3 C3_I2 Selec",TRUE,"A","I","I",1,TRUE,12,6,6,249.909090909091,198460,176489,199513,22024,15659,199513,174329,172170,"11:20:17",1,9,6.264982043,"S","S",12,"S","S",5,"S","S",10,"L","M",1053,12,5.40832691319598,1,1
2019-04-25,"11:20:17",3662,83,"Test_Trials_B_2-083-1","B2","TrialProc",6,27,3,4377.986129,2388.8882,16,2,"P P Z T U W W","P3 Z2 T2 U2 W4 W4","P2_P3 P3_Z2 Z2_T2 T2_U2 U2_W4 Selec",TRUE,"P","W","W",4,TRUE,7,5,2,1225.83333333333,233749,210339,234803,23464,15659,234803,205113,207512,"11:20:17",16,23,10.3350133,"L","M",14.25,"S","S",4,"S","S",5,"S","S",1054,14.25,10.3350133042972,1,1
2019-04-25,"11:20:17",3663,83,"Test_Trials_B_2-083-1","B2","TrialProc",7,2,1,3569.806548,2537.144697,11,2,"K J J D D C B B H H G G A A","J4 J1 D1 D4 C4 B4 B3 H3 H4 G4 G1 A4 A4","K2_J4 J4_J1 J1_D1 D1_D4 D4_C4 C4_B4 B4_B3 B3_H3 H3_H4 H4_G4 G4_G1 G1_A4 Selec",TRUE,"K","A","A",4,TRUE,14,8,6,220.615384615385,274292,244295,275345,30050,15659,275345,239202,241749,"11:20:17",11,1,10.11187421,"L","M",18.5,"S","M",7,"L","M",12,"L","L",1053,18.5,9.61769203083567,1,1
2019-04-25,"11:20:17",3664,83,"Test_Trials_B_2-083-1","B2","TrialProc",8,55,8,5537.144697,2453.213607,22,3,"Y Y V X X T U U R R Q Q Q Q Q Q H H","Y4 V1 X1 X2 T2 U2 U1 R1 R4 Q4 Q1 Q2 Q3 Q2 Q1 H1 H4","Y2_Y4 Y4_V1 V1_X1 X1_X2 X2_T2 T2_U2 U2_U1 U1_R1 R1_R4 R4_Q4 Q4_Q1 Q1_Q2 Q2_Q3 Q3_Q2 Q2_Q1 Q1_H1 H1_H4",FALSE,"Y","K","H",4,FALSE,18,7,11,514.588235294118,329019,283864,330606,46742,15659,330606,278931,281398,"11:20:17",22,8,11.672618,"L","L",16,"L","M",5,"L","M",8,"L","M",1587,25,11.6726175299288,1.5625,NA
